39 0.088982389  -28.410208 -20.856169 -20.655992 -20.545011 -20.150515 -19.816963 -19.675291 -19.438586 -19.209481 -18.978571 -18.709432 -18.638528 -18.067517 -18.044852 -17.683969 -17.40246 -17.174258 -16.799062 -16.6179 -16.601465 -16.337654 -16.318179 -16.033202 -15.68609 -15.504396 -15.212981 -14.709368 -14.615546 -14.135662 -13.981754 -13.81493 -13.675692 -13.533064 -12.848558 -12.810868 -12.700192 -12.375433 -12.15768 -11.9444 -11.854037 -11.579012 -11.571801 -11.260943 -11.123894 -11.028477 -10.581574 -10.383875 -10.14916 -10.100613 -9.8781208 -9.6154569 -9.3258947 -9.2738595 -9.0828899 -9.0574367 -8.8996644 -8.7360012 -8.7083245 -8.6382386 -8.438084 -8.4203129 -8.4197143 -8.330838 -8.2541011 -8.1987798 -8.0070219 -7.7272751 -7.7072956 -7.4169376 -7.4163478 -7.3933711 -7.3811845 -7.2541148 -7.1917155 -7.0853084 -7.0268579 -7.0198952 -6.9624646 -6.6835816 -6.4623956 -6.3270803 -6.1528579 -5.9290344 -5.8136395 -5.6541232 -5.6428145 -5.4859782 -5.4658524 -5.1248818 -5.0808953 -4.5162655 -4.462128 -4.228203 -4.1569734 -4.1060289 -3.9334823 -3.9082944 -3.8722043 -2.7918035 -2.5862024 -1.2529197 -0.50623144 -0.14153226 0.34316784 0.48298383 0.72893299 0.81019151 1.0125274 1.1281202 1.4424629 1.5758972 1.6773782 2.4952829 2.8703448 3.1572859 3.1749408 4.1245989 4.3245195 4.4913735 4.7177246 5.2971796
40 0.091324031  -28.410208 -20.853231 -20.661163 -20.546282 -20.147173 -19.823239 -19.651675 -19.465185 -19.155296 -19.031124 -18.712717 -18.638004 -18.07232 -18.048824 -17.635473 -17.453833 -17.135933 -16.805801 -16.59859 -16.563341 -16.378931 -16.3693 -15.993491 -15.688788 -15.521341 -15.229792 -14.705799 -14.608762 -14.148513 -13.983244 -13.788955 -13.667461 -13.546748 -12.80297 -12.786182 -12.67196 -12.463676 -12.158953 -11.936818 -11.84243 -11.608598 -11.594871 -11.260927 -11.134513 -10.967202 -10.590936 -10.405998 -10.152741 -10.116113 -9.880353 -9.6031091 -9.3098265 -9.2386076 -9.1038852 -9.0707922 -8.8964291 -8.7366751 -8.7135294 -8.6451257 -8.4216536 -8.4205034 -8.3999582 -8.3423928 -8.2756943 -8.2200126 -8.0040717 -7.6976075 -7.6558112 -7.4392684 -7.4105131 -7.3845481 -7.369247 -7.242256 -7.2337299 -7.1304431 -7.0311692 -7.0151552 -6.9091038 -6.7339774 -6.4608648 -6.3366832 -6.1543858 -5.9246032 -5.7525582 -5.6617162 -5.6452689 -5.5452012 -5.4505507 -5.1122591 -5.0926174 -4.460532 -4.4484705 -4.2293194 -4.1327105 -4.1199645 -3.9644054 -3.9476516 -3.8818061 -2.7890273 -2.5820658 -1.2539855 -0.50882173 -0.1425945 0.34264976 0.50897745 0.72009235 0.78221912 1.0701597 1.2266538 1.3768261 1.472812 1.679271 2.5030201 2.8994204 3.150175 3.152075 4.2107004 4.3242282 4.4943875 4.6498684 5.3299025
41 0.093665673  -28.410209 -20.852211 -20.662931 -20.546707 -20.146016 -19.825375 -19.642115 -19.475741 -19.11824 -19.067782 -18.71366 -18.637822 -18.073928 -18.050154 -17.611291 -17.478984 -17.121384 -16.811419 -16.593023 -16.536887 -16.403091 -16.387265 -15.978915 -15.689679 -15.52846 -15.235321 -14.704597 -14.606241 -14.153044 -13.983831 -13.778908 -13.664574 -13.552797 -12.798779 -12.768881 -12.639343 -12.513861 -12.161285 -11.931232 -11.838111 -11.621671 -11.601337 -11.260922 -11.138107 -10.94339 -10.596892 -10.414284 -10.15394 -10.121334 -9.8805427 -9.5988694 -9.3042877 -9.2240613 -9.1135633 -9.0754902 -8.8953065 -8.7373524 -8.7155217 -8.6474669 -8.4223004 -8.4124464 -8.3882621 -8.3503644 -8.2845834 -8.2280739 -8.003071 -7.6868657 -7.631911 -7.4609021 -7.4099238 -7.3853768 -7.3410812 -7.2719097 -7.2177384 -7.1548205 -7.0322506 -7.0132944 -6.8815222 -6.7606473 -6.4604889 -6.3397778 -6.154912 -5.923062 -5.7213042 -5.6643219 -5.6460861 -5.5757477 -5.4451928 -5.1079503 -5.0967742 -4.4578006 -4.4193672 -4.2467105 -4.1231748 -4.1089243 -3.9819814 -3.9650111 -3.8824046 -2.7880986 -2.5806845 -1.2543445 -0.50968666 -0.1430243 0.34257342 0.51892647 0.71688198 0.77159436 1.096667 1.2900851 1.3481471 1.4075925 1.6799076 2.5056778 2.9105144 3.1409235 3.149867 4.2474006 4.3241299 4.4954025 4.6185764 5.3437375
42 0.096007315  -28.410208 -20.853231 -20.661163 -20.546282 -20.147173 -19.823239 -19.651675 -19.465185 -19.155296 -19.031124 -18.712717 -18.638004 -18.07232 -18.048824 -17.635473 -17.453833 -17.135933 -16.805801 -16.59859 -16.563341 -16.378931 -16.3693 -15.993491 -15.688788 -15.521341 -15.229792 -14.705799 -14.608762 -14.148513 -13.983244 -13.788955 -13.667461 -13.546748 -12.80297 -12.786182 -12.67196 -12.463676 -12.158953 -11.936818 -11.84243 -11.608598 -11.594871 -11.260927 -11.134513 -10.967202 -10.590936 -10.405998 -10.152741 -10.116113 -9.880353 -9.6031091 -9.3098265 -9.2386076 -9.1038852 -9.0707922 -8.8964291 -8.7366751 -8.7135294 -8.6451257 -8.4216536 -8.4205034 -8.3999582 -8.3423928 -8.2756943 -8.2200126 -8.0040717 -7.6976075 -7.6558112 -7.4392684 -7.4105131 -7.3845481 -7.369247 -7.242256 -7.2337299 -7.1304431 -7.0311692 -7.0151552 -6.9091038 -6.7339774 -6.4608648 -6.3366832 -6.1543858 -5.9246032 -5.7525582 -5.6617162 -5.6452689 -5.5452012 -5.4505507 -5.1122591 -5.0926174 -4.460532 -4.4484705 -4.2293194 -4.1327105 -4.1199645 -3.9644054 -3.9476516 -3.8818061 -2.7890273 -2.5820658 -1.2539855 -0.50882173 -0.1425945 0.34264976 0.50897745 0.72009235 0.78221912 1.0701597 1.2266538 1.3768261 1.472812 1.679271 2.5030201 2.8994204 3.150175 3.152075 4.2107004 4.3242282 4.4943875 4.6498684 5.3299025
43 0.098348957  -28.410208 -20.856169 -20.655992 -20.545011 -20.150515 -19.816963 -19.675291 -19.438586 -19.209481 -18.978571 -18.709432 -18.638528 -18.067517 -18.044852 -17.683969 -17.40246 -17.174258 -16.799062 -16.6179 -16.601465 -16.337654 -16.318179 -16.033202 -15.68609 -15.504396 -15.212981 -14.709368 -14.615546 -14.135662 -13.981754 -13.81493 -13.675692 -13.533064 -12.848558 -12.810868 -12.700192 -12.375433 -12.15768 -11.9444 -11.854037 -11.579012 -11.571801 -11.260943 -11.123894 -11.028477 -10.581574 -10.383875 -10.14916 -10.100613 -9.8781208 -9.6154569 -9.3258947 -9.2738595 -9.0828899 -9.0574367 -8.8996644 -8.7360012 -8.7083245 -8.6382386 -8.438084 -8.4203129 -8.4197143 -8.330838 -8.2541011 -8.1987798 -8.0070219 -7.7272751 -7.7072956 -7.4169376 -7.4163478 -7.3933711 -7.3811845 -7.2541148 -7.1917155 -7.0853084 -7.0268579 -7.0198952 -6.9624646 -6.6835816 -6.4623956 -6.3270803 -6.1528579 -5.9290344 -5.8136395 -5.6541232 -5.6428145 -5.4859782 -5.4658524 -5.1248818 -5.0808953 -4.5162655 -4.462128 -4.228203 -4.1569734 -4.1060289 -3.9334823 -3.9082944 -3.8722043 -2.7918035 -2.5862024 -1.2529197 -0.50623144 -0.14153226 0.34316784 0.48298383 0.72893299 0.81019151 1.0125274 1.1281202 1.4424629 1.5758972 1.6773782 2.4952829 2.8703448 3.1572859 3.1749408 4.1245989 4.3245195 4.4913735 4.7177246 5.2971796
44 0.1006906  -28.410208 -20.860704 -20.647768 -20.542903 -20.155685 -19.806912 -19.705543 -19.403386 -19.264815 -18.927612 -18.702257 -18.639326 -18.05958 -18.038291 -17.738097 -17.343645 -17.22704 -16.808824 -16.675775 -16.587976 -16.286657 -16.257433 -16.089502 -15.681505 -15.486187 -15.185082 -14.715196 -14.624451 -14.11665 -13.980208 -13.848936 -13.687976 -13.520171 -12.936052 -12.821561 -12.709661 -12.280765 -12.170464 -11.935687 -11.869827 -11.551423 -11.524841 -11.260969 -11.11107 -11.106212 -10.578485 -10.357188 -10.14327 -10.076327 -9.8688134 -9.6349205 -9.351107 -9.3204534 -9.0591018 -9.0375649 -8.9046629 -8.7375514 -8.7030879 -8.6271673 -8.45597 -8.4367999 -8.4164864 -8.3212801 -8.227669 -8.1703633 -8.0117719 -7.771985 -7.7644457 -7.4646031 -7.4316694 -7.3769143 -7.3462628 -7.2654423 -7.1369154 -7.0420851 -7.0263015 -7.0211415 -7.0096048 -6.6305337 -6.4662934 -6.3100506 -6.1504758 -5.9358561 -5.8805051 -5.6424983 -5.6383575 -5.4893995 -5.4211337 -5.1449775 -5.0633893 -4.5923597 -4.4719443 -4.2639931 -4.1862639 -4.0502924 -3.9252529 -3.8566903 -3.8354548 -2.7963972 -2.5930727 -1.2511814 -0.50192926 -0.14046954 0.34480058 0.44761705 0.74045203 0.84846587 0.9492674 1.0274715 1.5218743 1.6742794 1.6845166 2.4831568 2.8303264 3.165972 3.2071442 4.0175874 4.3249937 4.4864516 4.7862613 5.2646761
45 0.10303224  -28.410207 -20.866421 -20.636959 -20.539975 -20.162185 -19.793603 -19.738341 -19.363709 -19.319841 -18.882724 -18.688104 -18.640287 -18.04862 -18.029228 -17.793033 -17.288302 -17.281849 -16.838023 -16.735471 -16.552675 -16.229024 -16.203158 -16.14712 -15.674904 -15.472779 -15.148381 -14.723121 -14.63235 -14.095273 -13.980113 -13.883609 -13.702157 -13.514862 -13.032379 -12.827924 -12.714154 -12.203412 -12.185084 -11.903371 -11.88579 -11.517715 -11.471572 -11.261005 -11.201823 -11.083538 -10.582655 -10.337142 -10.13523 -10.047956 -9.8449883 -9.6601583 -9.3841758 -9.3737481 -9.0358746 -9.0145999 -8.9109675 -8.741699 -8.7030421 -8.6123894 -8.4672699 -8.444693 -8.4119768 -8.3127334 -8.2023581 -8.1399045 -8.0180914 -7.828424 -7.8161524 -7.5124334 -7.455314 -7.3721063 -7.306707 -7.2711664 -7.0809676 -7.0789029 -7.029525 -7.0192148 -6.9635105 -6.5807241 -6.474569 -6.2842964 -6.1474727 -5.9460491 -5.9444327 -5.6343278 -5.6252142 -5.519091 -5.35629 -5.1713338 -5.0420672 -4.6728879 -4.4894126 -4.310875 -4.2107608 -3.9847721 -3.9324264 -3.7982547 -3.78249 -2.8027541 -2.6026406 -1.2488277 -0.49593762 -0.14029555 0.3480568 0.40745362 0.74644403 0.88640327 0.89776767 0.93389051 1.6059846 1.6700568 1.7952412 2.467759 2.7840015 3.1768121 3.2425594 3.9020084 4.3256347 4.4797694 4.8283604 5.2553583
46 0.10537388  -28.410206 -20.872907 -20.624051 -20.53625 -20.169459 -19.777771 -19.771679 -19.374141 -19.321446 -18.848465 -18.662778 -18.64125 -18.034828 -18.017783 -17.847161 -17.352798 -17.220794 -16.878584 -16.794226 -16.505677 -16.242538 -16.166229 -16.117258 -15.6661 -15.466145 -15.10775 -14.73296 -14.635438 -14.078378 -13.983635 -13.910599 -13.71531 -13.520955 -13.131563 -12.826365 -12.718817 -12.248606 -12.093797 -11.900236 -11.851343 -11.478351 -11.423136 -11.28919 -11.26105 -11.055385 -10.592093 -10.329844 -10.125329 -10.021237 -9.8018983 -9.6897221 -9.4356896 -9.4187038 -9.0153835 -8.9932734 -8.9181177 -8.7455892 -8.7118168 -8.5943956 -8.4675922 -8.4438249 -8.4061957 -8.3042258 -8.183767 -8.1115092 -8.0256921 -7.8807673 -7.8660714 -7.5592666 -7.4836784 -7.3686098 -7.2844401 -7.2761684 -7.1357816 -7.0230792 -7.0214757 -6.9999695 -6.9063821 -6.5366579 -6.4898979 -6.2487398 -6.1441524 -6.0061922 -5.9541425 -5.627868 -5.6060225 -5.55331 -5.2931509 -5.2025291 -5.0185733 -4.7554246 -4.5155561 -4.3608626 -4.2300641 -3.9439449 -3.9170301 -3.7369593 -3.723738 -2.8107908 -2.614856 -1.2459396 -0.48828801 -0.1419288 0.35229779 0.36505666 0.73096411 0.82338374 0.87720763 0.94772094 1.6648214 1.690768 1.9071703 2.4506538 2.7337959 3.1884877 3.2787698 3.7832468 4.3264207 4.4715235 4.8258675 5.2528321
47 0.10771552  -28.410206 -20.879809 -20.609508 -20.531761 -20.17695 -19.805197 -19.759477 -19.427434 -19.277612 -18.82713 -18.642069 -18.624073 -18.018643 -18.004112 -17.899437 -17.420073 -17.161132 -16.924383 -16.850027 -16.454167 -16.318401 -16.100939 -16.053904 -15.654849 -15.465835 -15.069359 -14.744528 -14.629648 -14.076554 -13.993231 -13.918896 -13.724198 -13.539055 -13.231621 -12.815961 -12.725724 -12.299835 -12.016519 -11.898202 -11.792535 -11.434996 -11.433048 -11.315274 -11.261102 -11.023096 -10.605092 -10.335767 -10.114063 -9.9971915 -9.7443606 -9.7221406 -9.4992121 -9.4564941 -9.0001827 -8.9793431 -8.925712 -8.7441446 -8.7272805 -8.5736289 -8.4577548 -8.4364817 -8.3991573 -8.2954629 -8.1785312 -8.0903212 -8.0342512 -7.9202384 -7.9077881 -7.6048961 -7.5137332 -7.3700094 -7.2920645 -7.2765899 -7.1850186 -7.0039951 -6.9754546 -6.9615802 -6.8472206 -6.5150483 -6.4990112 -6.20335 -6.1408825 -6.0574356 -5.9644563 -5.6208738 -5.5908027 -5.5839891 -5.2370161 -5.23253 -4.9941234 -4.8389263 -4.5491914 -4.4118288 -4.2478653 -3.9518685 -3.8521857 -3.6755311 -3.6610625 -2.8203884 -2.6296545 -1.2426208 -0.47902124 -0.14606925 0.32092838 0.35564731 0.69587075 0.72926929 0.89076317 0.99788306 1.65871 1.7733414 2.0198804 2.4339914 2.6810098 3.1989129 3.3145135 3.664915 4.3273262 4.4619516 4.7837493 5.1501263
48 0.11005717  -28.410205 -20.886842 -20.593754 -20.526552 -20.184132 -19.837806 -19.739939 -19.479515 -19.232796 -18.816494 -18.642393 -18.574404 -18.002221 -17.988474 -17.947294 -17.488439 -17.108417 -16.97238 -16.898221 -16.402641 -16.39726 -16.033207 -15.989636 -15.640855 -15.470595 -15.038642 -14.757656 -14.611804 -14.093718 -14.010681 -13.904868 -13.726315 -13.566678 -13.3316 -12.79909 -12.735937 -12.35129 -11.982941 -11.851572 -11.738322 -11.507414 -11.384622 -11.268709 -11.261161 -10.987614 -10.620517 -10.352335 -10.102299 -9.9734412 -9.7560457 -9.6879592 -9.566143 -9.4852769 -8.9934247 -8.9766627 -8.9334289 -8.751233 -8.7252821 -8.5504658 -8.4429095 -8.4260058 -8.3908813 -8.2866093 -8.1909363 -8.0845642 -8.0434309 -7.9426359 -7.9276739 -7.649215 -7.543867 -7.3826288 -7.3104005 -7.29109 -7.2213554 -6.9747635 -6.9456751 -6.9003846 -6.787879 -6.5514946 -6.4668658 -6.1494516 -6.1381426 -6.0972172 -5.9749558 -5.6306597 -5.6138842 -5.5596816 -5.2730886 -5.1749084 -4.9695788 -4.9228137 -4.5880544 -4.4629762 -4.2692134 -3.9547268 -3.7889385 -3.6154998 -3.5953441 -2.8313857 -2.6469575 -1.2389963 -0.46818818 -0.15302462 0.27660529 0.3516633 0.63654069 0.66501501 0.92173471 1.0509209 1.6518807 1.8505003 2.1330495 2.4208252 2.6264539 3.2040051 3.3490739 3.5517161 4.3283225 4.4513223 4.7183682 5.0464022
49 0.11239881  -28.410204 -20.89379 -20.577189 -20.520677 -20.19051 -19.869432 -19.719646 -19.530043 -19.187483 -18.812666 -18.641973 -18.517697 -18.010654 -17.971696 -17.964798 -17.557034 -17.078494 -17.020977 -16.923852 -16.477918 -16.351131 -15.963755 -15.927285 -15.623771 -15.478835 -15.018285 -14.772193 -14.581566 -14.120878 -14.036112 -13.878791 -13.720944 -13.598524 -13.430786 -12.781257 -12.74991 -12.397982 -11.982861 -11.770431 -11.72702 -11.544478 -11.330867 -11.261224 -11.212284 -10.949852 -10.637493 -10.375964 -10.091562 -9.9487396 -9.7896609 -9.6621444 -9.6348767 -9.4827508 -8.9976772 -8.9832208 -8.941024 -8.7687086 -8.6996071 -8.5252233 -8.4311832 -8.4151464 -8.3813941 -8.2778683 -8.2147752 -8.0973974 -8.0528911 -7.9436145 -7.9245648 -7.6921499 -7.5732672 -7.4119014 -7.335005 -7.3184401 -7.2395522 -6.9428027 -6.9117417 -6.8379538 -6.7292389 -6.5973915 -6.4384578 -6.1372636 -6.1241874 -6.0891769 -5.9853211 -5.6722076 -5.607913 -5.533509 -5.3087251 -5.120621 -5.0066888 -4.945549 -4.6299887 -4.5139246 -4.2979117 -3.9502456 -3.7277658 -3.557091 -3.5282652 -2.8435718 -2.6666708 -1.2352085 -0.45585119 -0.16267628 0.23197481 0.33422349 0.54813481 0.65236926 0.96124076 1.1055754 1.6445084 1.9178884 2.2462226 2.415532 2.5708691 3.1939824 3.3819969 3.4537588 4.3293793 4.4399258 4.6408403 4.9417261
50 0.11474045  -28.410202 -20.900494 -20.560208 -20.514206 -20.195605 -19.899843 -19.699851 -19.578138 -19.142151 -18.812795 -18.640399 -18.457 -18.052119 -17.953101 -17.944551 -17.625057 -17.093072 -17.069274 -16.907088 -16.555521 -16.303168 -15.89338 -15.869203 -15.603221 -15.488249 -15.007508 -14.788018 -14.54267 -14.149004 -14.068082 -13.853163 -13.709412 -13.625848 -13.528154 -12.772096 -12.766279 -12.433926 -11.989772 -11.789901 -11.680686 -11.506131 -11.272927 -11.261291 -11.156542 -10.910681 -10.655031 -10.403181 -10.084468 -9.9243102 -9.8213888 -9.7042916 -9.6792007 -9.4414263 -9.0125618 -8.9921184 -8.9483179 -8.7837191 -8.6679784 -8.4981779 -8.4309105 -8.4068016 -8.3707317 -8.2685274 -8.2350598 -8.115553 -8.0622947 -7.9292832 -7.9088854 -7.733636 -7.6014982 -7.4549797 -7.3654085 -7.3537066 -7.2426998 -6.9181902 -6.8748403 -6.7743375 -6.6720773 -6.6451493 -6.4120133 -6.1463528 -6.1323357 -6.0247863 -5.9953026 -5.7149226 -5.6045406 -5.5058562 -5.3413375 -5.090197 -5.0699253 -4.9224733 -4.6733775 -4.5644574 -4.335351 -3.938468 -3.668562 -3.5005628 -3.4613373 -2.8566787 -2.6886831 -1.2314112 -0.44208696 -0.17456913 0.18722105 0.30158862 0.46391881 0.66302822 1.0063669 1.1614264 1.6367798 1.9699135 2.3577081 2.4237066 2.5161126 3.1498786 3.3902077 3.4130872 4.3304656 4.4280639 4.5567071 4.8361525
51 0.11708209  -28.410201 -20.906834 -20.543219 -20.50723 -20.19895 -19.92885 -19.685067 -19.619639 -19.097344 -18.815232 -18.63716 -18.394389 -18.094191 -17.934054 -17.917987 -17.691344 -17.135587 -17.117467 -16.869138 -16.625008 -16.2589 -15.826014 -15.81626 -15.578811 -15.494905 -15.003447 -14.805053 -14.502307 -14.172479 -14.104459 -13.839963 -13.69735 -13.635918 -13.618964 -12.79041 -12.775015 -12.453295 -11.997103 -11.878379 -11.589974 -11.438319 -11.261359 -11.211268 -11.10463 -10.870916 -10.671577 -10.431105 -10.085003 -9.9049082 -9.8519044 -9.7677118 -9.7133086 -9.3926952 -9.0372281 -8.9913038 -8.9551812 -8.797998 -8.6427156 -8.4695901 -8.438157 -8.407294 -8.3589434 -8.2567353 -8.2394872 -8.1260838 -8.0713051 -7.9090065 -7.8880791 -7.7736051 -7.628298 -7.5051699 -7.4028794 -7.391877 -7.2377405 -6.9164061 -6.8358665 -6.7095832 -6.6802929 -6.6158915 -6.3861451 -6.1567736 -6.1333654 -6.0047623 -5.9584364 -5.7583684 -5.6058346 -5.4772305 -5.3676373 -5.1728693 -5.0230316 -4.9006771 -4.717094 -4.6144284 -4.3810306 -3.9208569 -3.6111473 -3.4464302 -3.3957718 -2.8703725 -2.7128608 -1.227761 -0.42699143 -0.18805252 0.14244555 0.25841163 0.38475017 0.69239975 1.0561659 1.2182321 1.6288881 2.0017227 2.4329759 2.4498247 2.4969664 3.0656371 3.3678881 3.4418973 4.3315511 4.4160407 4.4687565 4.7297304
52 0.11942373  -28.4102 -20.912724 -20.526655 -20.499858 -20.200075 -19.956272 -19.696457 -19.633729 -19.053746 -18.819039 -18.631594 -18.332045 -18.132082 -17.917541 -17.888205 -17.753078 -17.186239 -17.165466 -16.848006 -16.667599 -16.218949 -15.787583 -15.749887 -15.550145 -15.4925 -15.003066 -14.82326 -14.469462 -14.187651 -14.143125 -13.844175 -13.735683 -13.654055 -13.618938 -12.815411 -12.800623 -12.456434 -12.003474 -11.967551 -11.499494 -11.364482 -11.261428 -11.146506 -11.058981 -10.831326 -10.684574 -10.457602 -10.097524 -9.902171 -9.8932234 -9.8089147 -9.7385476 -9.3595139 -9.0687631 -8.9700299 -8.9615227 -8.8158727 -8.6410884 -8.4397341 -8.4333399 -8.4174718 -8.3460975 -8.242221 -8.2257087 -8.1260887 -8.0795737 -7.8872779 -7.8659864 -7.8119752 -7.6534855 -7.5581808 -7.4477448 -7.4301107 -7.2291945 -6.951845 -6.7955035 -6.6862832 -6.6437437 -6.5622114 -6.3598924 -6.163195 -6.1354959 -6.013486 -5.8928581 -5.8021526 -5.6132027 -5.4487817 -5.3842439 -5.2536047 -4.9801179 -4.8804074 -4.7603394 -4.6637208 -4.4336498 -3.899322 -3.5553664 -3.3953454 -3.3326427 -2.8842459 -2.7390406 -1.2244063 -0.4106885 -0.20240541 0.097791706 0.2106045 0.3113075 0.73384201 1.1104664 1.2758178 1.6210284 2.0128487 2.388402 2.4934946 2.5970301 2.9609055 3.3682826 3.4684238 4.3326065 4.37855 4.4041554 4.6225068
53 0.12176538  -28.410199 -20.9181 -20.510966 -20.49223 -20.198518 -19.981924 -19.734591 -19.620179 -19.012222 -18.823641 -18.622855 -18.275725 -18.15994 -17.913267 -17.855793 -17.800442 -17.239285 -17.212562 -16.877494 -16.655423 -16.183688 -15.774606 -15.681517 -15.516702 -15.47457 -15.004093 -14.842624 -14.451706 -14.194908 -14.182177 -13.853857 -13.822766 -13.63471 -13.580955 -12.846699 -12.839308 -12.454264 -12.046066 -12.00863 -11.409814 -11.292259 -11.261495 -11.079416 -11.021317 -10.792634 -10.69047 -10.481279 -10.12411 -9.9548928 -9.9279903 -9.8166444 -9.7388535 -9.348158 -9.1033587 -8.9672794 -8.9270246 -8.8411151 -8.6688199 -8.4328284 -8.4089368 -8.4020576 -8.3322909 -8.2241575 -8.2004345 -8.1181273 -8.0867159 -7.866047 -7.8486393 -7.8444797 -7.6769197 -7.6119324 -7.496951 -7.4696529 -7.2193315 -7.0181329 -6.7543735 -6.6689825 -6.5768854 -6.5107349 -6.3326411 -6.1670908 -6.1394776 -6.021388 -5.845896 -5.8328954 -5.6240682 -5.4259475 -5.389444 -5.3269322 -4.9413384 -4.861856 -4.8024995 -4.7122234 -4.4918153 -3.8756382 -3.501124 -3.3480422 -3.2729778 -2.8978134 -2.7670126 -1.2214746 -0.39334493 -0.21692008 0.053583581 0.16236251 0.24413313 0.7819659 1.1694904 1.3340359 1.6133928 2.0077411 2.3303746 2.5465252 2.7099777 2.8535035 3.3777361 3.4924934 4.2870987 4.3336038 4.3926953 4.5145288
54 0.12410702  -28.410198 -20.922916 -20.496599 -20.484515 -20.193857 -20.005596 -19.777137 -19.60166 -18.973831 -18.828646 -18.609917 -18.24932 -18.153949 -17.941382 -17.821387 -17.812872 -17.292901 -17.258382 -16.940539 -16.607255 -16.153269 -15.784428 -15.616603 -15.477662 -15.440569 -15.005101 -14.863114 -14.450474 -14.2203 -14.201693 -13.912293 -13.850086 -13.60913 -13.530647 -12.898054 -12.870285 -12.464627 -12.101668 -12.012662 -11.321159 -11.261558 -11.228245 -11.011062 -10.990021 -10.755499 -10.686089 -10.501354 -10.163664 -10.02357 -9.9772367 -9.8045661 -9.7199233 -9.3522646 -9.1380346 -8.9724085 -8.8786848 -8.8724457 -8.7072444 -8.4457586 -8.3776344 -8.3540107 -8.3176642 -8.202309 -8.1698661 -8.1050686 -8.0922682 -7.883449 -7.8462925 -7.8245288 -7.6984851 -7.6653755 -7.5487346 -7.5108089 -7.2093353 -7.1007867 -6.7130707 -6.6419572 -6.5091024 -6.4617181 -6.3040441 -6.1697573 -6.1455338 -6.0283476 -5.8892105 -5.7904001 -5.6263151 -5.4457941 -5.3847086 -5.355078 -4.9068281 -4.8451743 -4.8430379 -4.7598112 -4.5542803 -3.8512908 -3.4483985 -3.3053048 -3.2178177 -2.9105167 -2.7964894 -1.2190585 -0.37519638 -0.2309494 0.010487321 0.11627023 0.18352106 0.83272829 1.2336571 1.3927402 1.6061654 1.9923166 2.2707728 2.583825 2.7680882 2.8241503 3.3910605 3.5139917 4.1951809 4.3345163 4.3819308 4.4058464
55 0.12644866  -28.410197 -20.927138 -20.483949 -20.476921 -20.185766 -20.027052 -19.819421 -19.583178 -18.939735 -18.833748 -18.591669 -18.262643 -18.104417 -17.994592 -17.799603 -17.783345 -17.346191 -17.302664 -17.013292 -16.547504 -16.127655 -15.811629 -15.557426 -15.432591 -15.396205 -15.005284 -14.884615 -14.461293 -14.255661 -14.217799 -13.997999 -13.824318 -13.582107 -13.473259 -12.957327 -12.900025 -12.502522 -12.124291 -12.015729 -11.261617 -11.233708 -11.181795 -10.958081 -10.941292 -10.720463 -10.671187 -10.517372 -10.213996 -10.092351 -10.037782 -9.7823182 -9.6949622 -9.3613548 -9.1704041 -8.976882 -8.9183113 -8.8551515 -8.7153704 -8.4548087 -8.3464591 -8.3024258 -8.2977377 -8.1766559 -8.1378704 -8.0956185 -8.0879018 -7.9161893 -7.8285869 -7.8066993 -7.7180985 -7.7178898 -7.6020838 -7.5532143 -7.1998887 -7.1915427 -6.672223 -6.6127995 -6.4405435 -6.4153743 -6.273977 -6.1721717 -6.1535713 -6.0342283 -5.9316885 -5.7824363 -5.6015153 -5.5155105 -5.370426 -5.3323757 -4.8814118 -4.8767062 -4.8304813 -4.8063212 -4.6199447 -3.8275103 -3.3972534 -3.2679212 -3.1682792 -2.9217571 -2.8270408 -1.2172038 -0.3565922 -0.24393288 -0.030370433 0.073955372 0.12944492 0.88293075 1.303396 1.4517625 1.5995187 1.9714429 2.2106494 2.5421072 2.7654256 2.9384531 3.4065535 3.5328283 4.1035201 4.2965155 4.3353173 4.3721123
