36 0.081957464  -35.14548 -21.32612 -21.308658 -20.792481 -20.53703 -20.167621 -20.13347 -19.517239 -19.463743 -19.066138 -18.987481 -18.930428 -18.359745 -18.049618 -18.036422 -17.636787 -17.574073 -17.09544 -16.91337 -16.535441 -16.344103 -16.251507 -16.164921 -15.892372 -15.751807 -15.518834 -14.913928 -14.901917 -14.305791 -14.035024 -13.994822 -13.674773 -13.624798 -13.302017 -13.144956 -12.988656 -12.88292 -12.568217 -12.017018 -11.864934 -11.84201 -11.749676 -11.543514 -11.376396 -11.047083 -11.03269 -10.669858 -10.267443 -10.137777 -9.9619654 -9.688977 -9.6117651 -9.3513508 -9.3175139 -9.0216871 -8.9758355 -8.8940675 -8.7106349 -8.666855 -8.619703 -8.4433317 -8.4167832 -8.369778 -8.2676315 -8.1711343 -8.083684 -8.0623646 -7.856197 -7.8464638 -7.5749667 -7.4945759 -7.413444 -7.2607773 -7.2245793 -7.120296 -6.9941244 -6.9809259 -6.9610648 -6.9102659 -6.6154067 -6.4800788 -6.227085 -6.1452774 -6.0165716 -5.9904012 -5.6649415 -5.641614 -5.5272084 -5.3373888 -5.2522453 -5.0513518 -4.7214653 -4.6097759 -4.3891477 -4.3155702 -3.9855804 -3.907241 -3.7730277 -3.7538277 -2.9310479 -2.7761938 -1.830424 -1.5858389 -1.4093812 -0.2404348 -0.046084486 0.64271046 0.68035794 0.71866383 0.86928922 1.2453634 1.3417065 1.70155 1.9781858 2.5086831 2.9140581 3.1356962 3.3881971 3.8296097 4.503999 5.2609182 5.2750572 5.7359202
37 0.084299106  -35.145478 -21.327282 -21.308944 -20.771477 -20.563756 -20.178238 -20.134838 -19.491609 -19.41531 -19.104338 -18.999062 -18.921551 -18.414201 -18.049867 -18.022467 -17.669735 -17.571827 -17.024432 -16.840775 -16.518986 -16.319246 -16.280549 -16.230301 -15.934604 -15.74289 -15.539299 -14.916165 -14.908972 -14.362601 -13.998073 -13.983128 -13.667852 -13.659724 -13.275013 -13.103334 -12.921669 -12.862355 -12.511958 -12.112352 -11.919542 -11.844357 -11.706317 -11.575494 -11.392857 -11.08747 -11.039534 -10.625936 -10.246709 -10.140523 -10.00384 -9.704216 -9.6767321 -9.2894824 -9.2613444 -9.0004301 -8.9553089 -8.8740845 -8.7386221 -8.6736896 -8.6507255 -8.4482063 -8.4165437 -8.381491 -8.2800903 -8.1915555 -8.0926723 -8.0813396 -7.8107827 -7.7973097 -7.5304017 -7.4542451 -7.4135944 -7.2561486 -7.2129041 -7.0873017 -7.0493557 -6.9843717 -6.9791087 -6.9694535 -6.6522139 -6.475174 -6.2668189 -6.1462393 -5.9857649 -5.9546011 -5.6706046 -5.6499786 -5.5041228 -5.3844162 -5.2371848 -5.0715841 -4.6427912 -4.6027052 -4.3418123 -4.2845759 -3.9653601 -3.9576886 -3.8339844 -3.8193527 -2.9229825 -2.7702366 -1.8388593 -1.5808863 -1.405316 -0.24768755 -0.045641208 0.62575781 0.70940926 0.74463739 0.95586456 1.2325819 1.3163095 1.6844098 1.8685984 2.4858877 2.9613661 3.1413492 3.3533037 3.9049528 4.5448433 5.2311699 5.3727772 5.7000091
38 0.086640748  -35.145477 -21.328204 -21.30917 -20.750055 -20.589634 -20.186494 -20.135915 -19.467323 -19.365992 -19.138392 -19.051138 -18.873141 -18.467061 -18.050116 -18.008593 -17.697996 -17.570664 -16.951494 -16.768246 -16.527578 -16.363153 -16.31258 -16.204128 -15.971866 -15.765109 -15.533844 -14.925974 -14.907497 -14.410422 -13.974299 -13.959159 -13.700156 -13.661801 -13.249853 -13.082989 -12.846653 -12.832338 -12.452056 -12.213565 -11.996761 -11.826644 -11.672554 -11.595828 -11.401473 -11.123587 -11.059087 -10.562892 -10.22598 -10.142908 -10.045745 -9.7919246 -9.6671507 -9.2277341 -9.2124583 -8.9822896 -8.9400148 -8.8815628 -8.7421835 -8.6851745 -8.6756631 -8.4584524 -8.4217849 -8.3810011 -8.2861645 -8.2120361 -8.1228087 -8.0769992 -7.7737234 -7.7508909 -7.4811161 -7.4132826 -7.4119693 -7.2697466 -7.2073562 -7.1065189 -7.0504463 -7.0337546 -6.9906481 -6.9686979 -6.6946846 -6.4707548 -6.2995688 -6.1472283 -5.9815264 -5.890236 -5.6749511 -5.6595096 -5.4810648 -5.4411861 -5.217083 -5.0902495 -4.6040662 -4.566544 -4.2961463 -4.244486 -4.0194134 -3.939296 -3.8939628 -3.8803444 -2.9166657 -2.7656147 -1.845495 -1.5768571 -1.4024929 -0.25346175 -0.04491145 0.60536966 0.73311819 0.77593534 1.038606 1.2180326 1.3027191 1.671966 1.760927 2.4669178 3.0061502 3.1458193 3.3182457 3.9685712 4.5851541 5.1893229 5.4685335 5.6780433
39 0.088982389  -35.145476 -21.328873 -21.309335 -20.728839 -20.614037 -20.192388 -20.136691 -19.446223 -19.315908 -19.166465 -19.104634 -18.82646 -18.51565 -18.050321 -17.996477 -17.720232 -17.570107 -16.877962 -16.696548 -16.571384 -16.384558 -16.372927 -16.144314 -16.001938 -15.805521 -15.516123 -14.934368 -14.905999 -14.446818 -13.968093 -13.919004 -13.742321 -13.657585 -13.230097 -13.072185 -12.833873 -12.73552 -12.391097 -12.316108 -12.069949 -11.815998 -11.652575 -11.605324 -11.399328 -11.152423 -11.083558 -10.492858 -10.208052 -10.144724 -10.086799 -9.8672392 -9.6601967 -9.1749102 -9.165994 -8.9690011 -8.9435425 -8.8998184 -8.7342181 -8.6972835 -8.6861341 -8.4728855 -8.4308025 -8.3729922 -8.2857106 -8.2280841 -8.1512632 -8.0724754 -7.7470377 -7.7116969 -7.4279166 -7.4094112 -7.3693667 -7.2947418 -7.2097126 -7.1629205 -7.0852727 -7.0160468 -6.9984347 -6.9482655 -6.7399374 -6.4670221 -6.3243036 -6.1480788 -5.9781525 -5.8277201 -5.6771355 -5.6674911 -5.4994522 -5.4617301 -5.2000265 -5.1056617 -4.6085774 -4.4970762 -4.2550379 -4.1989817 -4.0728702 -3.9537451 -3.9367967 -3.9194917 -2.912161 -2.7623207 -1.8502627 -1.5738813 -1.4006823 -0.25765868 -0.044126679 0.58891281 0.7511489 0.80342937 1.1051701 1.2038068 1.3119318 1.6558146 1.6646104 2.4526813 3.0465139 3.1490741 3.2848608 4.0168624 4.6226726 5.1440442 5.561316 5.6667809
40 0.091324031  -35.145476 -21.329277 -21.309435 -20.709807 -20.634984 -20.195922 -20.137159 -19.431187 -19.265505 -19.185689 -19.157253 -18.789076 -18.554066 -18.050454 -17.988006 -17.734722 -17.569871 -16.807133 -16.633502 -16.627917 -16.451154 -16.370514 -16.095178 -16.021869 -15.845758 -15.500692 -14.939988 -14.905067 -14.469665 -13.964432 -13.87878 -13.784118 -13.655006 -13.217649 -13.066489 -12.826034 -12.636388 -12.417559 -12.334528 -12.133725 -11.811442 -11.643917 -11.607784 -11.391433 -11.171295 -11.103906 -10.430988 -10.199647 -10.145833 -10.119784 -9.9200783 -9.6559909 -9.1487978 -9.1096791 -8.9827676 -8.9594778 -8.8983234 -8.736472 -8.7066194 -8.6782922 -8.4846829 -8.4398805 -8.365911 -8.2806531 -8.2372592 -8.1741731 -8.0692608 -7.7311356 -7.6849479 -7.4022602 -7.3734625 -7.331734 -7.3203617 -7.2245392 -7.2134815 -7.1206335 -7.0026906 -6.9940385 -6.9193366 -6.7827398 -6.4643492 -6.3399137 -6.1486515 -5.9759639 -5.7753993 -5.6754772 -5.6725986 -5.5521232 -5.4489011 -5.1888239 -5.1159918 -4.6129356 -4.442052 -4.2261024 -4.1544436 -4.1128331 -4.0019986 -3.9809716 -3.9108015 -2.9094711 -2.7603476 -1.8531304 -1.572056 -1.3996859 -0.26020619 -0.043531031 0.57848954 0.76258525 0.82235184 1.1409778 1.1930984 1.3548595 1.5599817 1.6594561 2.4438564 3.077957 3.1510589 3.2576142 4.0469865 4.6514956 5.1077218 5.6473744 5.6620338
41 0.093665673  -35.145476 -21.329413 -21.309468 -20.700389 -20.64504 -20.1971 -20.137315 -19.425611 -19.225145 -19.198492 -19.192537 -18.773459 -18.570018 -18.0505 -17.98493 -17.739796 -17.569808 -16.763034 -16.6748 -16.587928 -16.491813 -16.367871 -16.074142 -16.02881 -15.864335 -15.494836 -14.941982 -14.904753 -14.477463 -13.963222 -13.850661 -13.812815 -13.654139 -13.213412 -13.064672 -12.823337 -12.561832 -12.492744 -12.304933 -12.165737 -11.810343 -11.641774 -11.607908 -11.387184 -11.1779 -11.111942 -10.403249 -10.201606 -10.146203 -10.131114 -9.9394923 -9.6545837 -9.1397355 -9.0740982 -9.0138227 -8.957293 -8.8956802 -8.739394 -8.7098832 -8.6725391 -8.4891436 -8.4438647 -8.3633751 -8.2774064 -8.2397226 -8.1838695 -8.0681087 -7.725872 -7.6753681 -7.3966046 -7.338924 -7.333687 -7.316854 -7.2431216 -7.2349766 -7.1323843 -7.0039302 -6.9872906 -6.9006081 -6.8052464 -6.4633463 -6.345289 -6.1488532 -5.9752043 -5.7527749 -5.6746421 -5.6710714 -5.5784193 -5.4443753 -5.1849271 -5.1196532 -4.6146631 -4.4190832 -4.2177328 -4.1343567 -4.1215616 -4.0278762 -3.9992998 -3.9075259 -2.9085777 -2.7596905 -1.854087 -1.5714409 -1.3993696 -0.2610603 -0.043309501 0.57493432 0.76652258 0.82914582 1.1501501 1.1890746 1.3974695 1.5021678 1.6580076 2.4408665 3.0909122 3.1517278 3.2460576 4.0572151 4.6627483 5.0934949 5.6607529 5.6983663
42 0.096007315  -35.145476 -21.329277 -21.309435 -20.709807 -20.634984 -20.195922 -20.137159 -19.431187 -19.265505 -19.185689 -19.157253 -18.789076 -18.554066 -18.050454 -17.988006 -17.734722 -17.569871 -16.807133 -16.633502 -16.627917 -16.451154 -16.370514 -16.095178 -16.021869 -15.845758 -15.500692 -14.939988 -14.905067 -14.469665 -13.964432 -13.87878 -13.784118 -13.655006 -13.217649 -13.066489 -12.826034 -12.636388 -12.417559 -12.334528 -12.133725 -11.811442 -11.643917 -11.607784 -11.391433 -11.171295 -11.103906 -10.430988 -10.199647 -10.145833 -10.119784 -9.9200783 -9.6559909 -9.1487978 -9.1096791 -8.9827676 -8.9594778 -8.8983234 -8.736472 -8.7066194 -8.6782922 -8.4846829 -8.4398805 -8.365911 -8.2806531 -8.2372592 -8.1741731 -8.0692608 -7.7311356 -7.6849479 -7.4022602 -7.3734625 -7.331734 -7.3203617 -7.2245392 -7.2134815 -7.1206335 -7.0026906 -6.9940385 -6.9193366 -6.7827398 -6.4643492 -6.3399137 -6.1486515 -5.9759639 -5.7753993 -5.6754772 -5.6725986 -5.5521232 -5.4489011 -5.1888239 -5.1159918 -4.6129356 -4.442052 -4.2261024 -4.1544436 -4.1128331 -4.0019986 -3.9809716 -3.9108015 -2.9094711 -2.7603476 -1.8531304 -1.572056 -1.3996859 -0.26020619 -0.043531031 0.57848954 0.76258525 0.82235184 1.1409778 1.1930984 1.3548595 1.5599817 1.6594561 2.4438564 3.077957 3.1510589 3.2576142 4.0469865 4.6514956 5.1077218 5.6473744 5.6620338
43 0.098348957  -35.145476 -21.328873 -21.309335 -20.728839 -20.614037 -20.192388 -20.136691 -19.446223 -19.315908 -19.166465 -19.104634 -18.82646 -18.51565 -18.050321 -17.996477 -17.720232 -17.570107 -16.877962 -16.696548 -16.571384 -16.384558 -16.372927 -16.144314 -16.001938 -15.805521 -15.516123 -14.934368 -14.905999 -14.446818 -13.968093 -13.919004 -13.742321 -13.657585 -13.230097 -13.072185 -12.833873 -12.73552 -12.391097 -12.316108 -12.069949 -11.815998 -11.652575 -11.605324 -11.399328 -11.152423 -11.083558 -10.492858 -10.208052 -10.144724 -10.086799 -9.8672392 -9.6601967 -9.1749102 -9.165994 -8.9690011 -8.9435425 -8.8998184 -8.7342181 -8.6972835 -8.6861341 -8.4728855 -8.4308025 -8.3729922 -8.2857106 -8.2280841 -8.1512632 -8.0724754 -7.7470377 -7.7116969 -7.4279166 -7.4094112 -7.3693667 -7.2947418 -7.2097126 -7.1629205 -7.0852727 -7.0160468 -6.9984347 -6.9482655 -6.7399374 -6.4670221 -6.3243036 -6.1480788 -5.9781525 -5.8277201 -5.6771355 -5.6674911 -5.4994522 -5.4617301 -5.2000265 -5.1056617 -4.6085774 -4.4970762 -4.2550379 -4.1989817 -4.0728702 -3.9537451 -3.9367967 -3.9194917 -2.912161 -2.7623207 -1.8502627 -1.5738813 -1.4006823 -0.25765868 -0.044126679 0.58891281 0.7511489 0.80342937 1.1051701 1.2038068 1.3119318 1.6558146 1.6646104 2.4526813 3.0465139 3.1490741 3.2848608 4.0168624 4.6226726 5.1440442 5.561316 5.6667809
44 0.1006906  -35.145477 -21.328204 -21.30917 -20.750055 -20.589634 -20.186494 -20.135915 -19.467323 -19.365992 -19.138392 -19.051138 -18.873141 -18.467061 -18.050116 -18.008593 -17.697996 -17.570664 -16.951494 -16.768246 -16.527578 -16.363153 -16.31258 -16.204128 -15.971866 -15.765109 -15.533844 -14.925974 -14.907497 -14.410422 -13.974299 -13.959159 -13.700156 -13.661801 -13.249853 -13.082989 -12.846653 -12.832338 -12.452056 -12.213565 -11.996761 -11.826644 -11.672554 -11.595828 -11.401473 -11.123587 -11.059087 -10.562892 -10.22598 -10.142908 -10.045745 -9.7919246 -9.6671507 -9.2277341 -9.2124583 -8.9822896 -8.9400148 -8.8815628 -8.7421835 -8.6851745 -8.6756631 -8.4584524 -8.4217849 -8.3810011 -8.2861645 -8.2120361 -8.1228087 -8.0769992 -7.7737234 -7.7508909 -7.4811161 -7.4132826 -7.4119693 -7.2697466 -7.2073562 -7.1065189 -7.0504463 -7.0337546 -6.9906481 -6.9686979 -6.6946846 -6.4707548 -6.2995688 -6.1472283 -5.9815264 -5.890236 -5.6749511 -5.6595096 -5.4810648 -5.4411861 -5.217083 -5.0902495 -4.6040662 -4.566544 -4.2961463 -4.244486 -4.0194134 -3.939296 -3.8939628 -3.8803444 -2.9166657 -2.7656147 -1.845495 -1.5768571 -1.4024929 -0.25346175 -0.04491145 0.60536966 0.73311819 0.77593534 1.038606 1.2180326 1.3027191 1.671966 1.760927 2.4669178 3.0061502 3.1458193 3.3182457 3.9685712 4.5851541 5.1893229 5.4685335 5.6780433
45 0.10303224  -35.145478 -21.327282 -21.308944 -20.771477 -20.563756 -20.178238 -20.134838 -19.491609 -19.41531 -19.104338 -18.999062 -18.921551 -18.414201 -18.049867 -18.022467 -17.669735 -17.571827 -17.024432 -16.840775 -16.518986 -16.319246 -16.280549 -16.230301 -15.934604 -15.74289 -15.539299 -14.916165 -14.908972 -14.362601 -13.998073 -13.983128 -13.667852 -13.659724 -13.275013 -13.103334 -12.921669 -12.862355 -12.511958 -12.112352 -11.919542 -11.844357 -11.706317 -11.575494 -11.392857 -11.08747 -11.039534 -10.625936 -10.246709 -10.140523 -10.00384 -9.704216 -9.6767321 -9.2894824 -9.2613444 -9.0004301 -8.9553089 -8.8740845 -8.7386221 -8.6736896 -8.6507255 -8.4482063 -8.4165437 -8.381491 -8.2800903 -8.1915555 -8.0926723 -8.0813396 -7.8107827 -7.7973097 -7.5304017 -7.4542451 -7.4135944 -7.2561486 -7.2129041 -7.0873017 -7.0493557 -6.9843717 -6.9791087 -6.9694535 -6.6522139 -6.475174 -6.2668189 -6.1462393 -5.9857649 -5.9546011 -5.6706046 -5.6499786 -5.5041228 -5.3844162 -5.2371848 -5.0715841 -4.6427912 -4.6027052 -4.3418123 -4.2845759 -3.9653601 -3.9576886 -3.8339844 -3.8193527 -2.9229825 -2.7702366 -1.8388593 -1.5808863 -1.405316 -0.24768755 -0.045641208 0.62575781 0.70940926 0.74463739 0.95586456 1.2325819 1.3163095 1.6844098 1.8685984 2.4858877 2.9613661 3.1413492 3.3533037 3.9049528 4.5448433 5.2311699 5.3727772 5.7000091
46 0.10537388  -35.14548 -21.32612 -21.308658 -20.792481 -20.53703 -20.167621 -20.13347 -19.517239 -19.463743 -19.066138 -18.987481 -18.930428 -18.359745 -18.049618 -18.036422 -17.636787 -17.574073 -17.09544 -16.91337 -16.535441 -16.344103 -16.251507 -16.164921 -15.892372 -15.751807 -15.518834 -14.913928 -14.901917 -14.305791 -14.035024 -13.994822 -13.674773 -13.624798 -13.302017 -13.144956 -12.988656 -12.88292 -12.568217 -12.017018 -11.864934 -11.84201 -11.749676 -11.543514 -11.376396 -11.047083 -11.03269 -10.669858 -10.267443 -10.137777 -9.9619654 -9.688977 -9.6117651 -9.3513508 -9.3175139 -9.0216871 -8.9758355 -8.8940675 -8.7106349 -8.666855 -8.619703 -8.4433317 -8.4167832 -8.369778 -8.2676315 -8.1711343 -8.083684 -8.0623646 -7.856197 -7.8464638 -7.5749667 -7.4945759 -7.413444 -7.2607773 -7.2245793 -7.120296 -6.9941244 -6.9809259 -6.9610648 -6.9102659 -6.6154067 -6.4800788 -6.227085 -6.1452774 -6.0165716 -5.9904012 -5.6649415 -5.641614 -5.5272084 -5.3373888 -5.2522453 -5.0513518 -4.7214653 -4.6097759 -4.3891477 -4.3155702 -3.9855804 -3.907241 -3.7730277 -3.7538277 -2.9310479 -2.7761938 -1.830424 -1.5858389 -1.4093812 -0.2404348 -0.046084486 0.64271046 0.68035794 0.71866383 0.86928922 1.2453634 1.3417065 1.70155 1.9781858 2.5086831 2.9140581 3.1356962 3.3881971 3.8296097 4.503999 5.2609182 5.2750572 5.7359202
47 0.10771552  -35.145481 -21.324736 -21.308316 -20.812797 -20.509724 -20.154648 -20.131826 -19.543124 -19.511222 -19.036118 -19.024853 -18.879118 -18.305456 -18.049708 -18.048537 -17.600128 -17.578141 -17.163349 -16.98573 -16.562031 -16.41318 -16.17431 -16.099273 -15.846715 -15.783074 -15.478006 -14.917305 -14.8885 -14.242845 -14.069049 -14.009465 -13.682929 -13.599935 -13.324722 -13.216302 -13.024561 -12.908396 -12.618495 -11.956526 -11.85671 -11.821894 -11.743182 -11.501148 -11.361172 -11.043603 -11.001119 -10.686823 -10.287042 -10.134976 -9.9199321 -9.7035056 -9.525619 -9.4076 -9.3791197 -9.044636 -8.9996784 -8.924098 -8.6747646 -8.6664784 -8.5859465 -8.4369346 -8.4192793 -8.3526076 -8.2494625 -8.1572077 -8.0800835 -8.0350339 -7.9052477 -7.8940767 -7.6157416 -7.5321312 -7.4173323 -7.2795378 -7.2417087 -7.1514966 -6.9703077 -6.9539282 -6.9221572 -6.847561 -6.5874649 -6.4844983 -6.1817965 -6.1445219 -6.0717566 -5.9953313 -5.6586085 -5.6405041 -5.5435016 -5.3253569 -5.2362093 -5.0312186 -4.8009209 -4.6280477 -4.437046 -4.336146 -4.0127393 -3.8536287 -3.7137732 -3.6846609 -2.9406944 -2.7834912 -1.8203068 -1.5915562 -1.4149115 -0.23182704 -0.046088523 0.63457222 0.64496991 0.72016465 0.78624408 1.2557337 1.3738765 1.7233765 2.0889157 2.5341746 2.8651823 3.1287927 3.4220711 3.7464612 4.4628211 5.1756997 5.2753906 5.7849989
48 0.11005717  -35.145483 -21.323156 -21.307923 -20.832271 -20.481983 -20.139338 -20.129922 -19.568666 -19.557635 -19.088965 -18.981194 -18.823128 -18.253512 -18.057497 -18.049263 -17.585622 -17.560066 -17.226677 -17.057687 -16.592397 -16.48319 -16.093106 -16.045486 -15.816901 -15.798054 -15.42885 -14.921769 -14.873323 -14.179997 -14.095589 -14.027141 -13.691815 -13.592607 -13.334805 -13.305552 -13.040263 -12.939838 -12.660508 -11.969035 -11.879605 -11.779941 -11.663952 -11.450166 -11.360908 -11.054979 -10.955117 -10.679467 -10.304919 -10.132556 -9.8777319 -9.7202247 -9.5071401 -9.4457365 -9.4019412 -9.068144 -9.0237881 -8.9520078 -8.6827578 -8.6311204 -8.5542163 -8.4302969 -8.4132832 -8.335511 -8.2273423 -8.1544484 -8.0720153 -8.0184033 -7.9476899 -7.932 -7.6542135 -7.56642 -7.4316854 -7.2991949 -7.2636624 -7.1850004 -6.9537205 -6.927971 -6.8650011 -6.7852418 -6.5739993 -6.4844124 -6.1446715 -6.1399009 -6.1080899 -6.0002153 -5.6544062 -5.652222 -5.5449787 -5.3440129 -5.1921243 -5.0140888 -4.8781355 -4.6575441 -4.484946 -4.3492366 -4.0389337 -3.8018258 -3.6567591 -3.6138335 -2.9516119 -2.7921275 -1.8086823 -1.5978575 -1.4220872 -0.2220111 -0.045625785 0.59655199 0.60577414 0.71413157 0.74716891 1.2644413 1.4104523 1.7493362 2.2002309 2.5609923 2.8153929 3.120306 3.454462 3.6595648 4.4207348 5.0750271 5.2761596 5.8415014
49 0.11239881  -35.145485 -21.32141 -21.307481 -20.850795 -20.453896 -20.127801 -20.121709 -19.603406 -19.592972 -19.142202 -18.93551 -18.766135 -18.20816 -18.057903 -18.049405 -17.597864 -17.517626 -17.283371 -17.129101 -16.623983 -16.553334 -16.02567 -16.009003 -15.824474 -15.748426 -15.377981 -14.927164 -14.856641 -14.155083 -14.078432 -14.047797 -13.701076 -13.60667 -13.401374 -13.327381 -13.046547 -12.97724 -12.692734 -12.003592 -11.945966 -11.684548 -11.580308 -11.392716 -11.386765 -11.049331 -10.908271 -10.657139 -10.320656 -10.131138 -9.8358474 -9.7389931 -9.5627481 -9.5141057 -9.3413953 -9.0912774 -9.0366652 -8.9744773 -8.7035743 -8.594099 -8.5331086 -8.4208081 -8.3933503 -8.3203171 -8.2048581 -8.1621586 -8.0697526 -8.0361345 -7.9607432 -7.9431915 -7.6915772 -7.5972957 -7.4608105 -7.3100757 -7.289801 -7.2218133 -6.9390024 -6.9019791 -6.8042366 -6.7241581 -6.5801681 -6.4743197 -6.1588781 -6.1429234 -6.0691924 -6.0049593 -5.6813147 -5.6473192 -5.5330004 -5.3680411 -5.1436641 -5.0141305 -4.938965 -4.69545 -4.5324592 -4.3614471 -4.0602364 -3.7517723 -3.6024671 -3.5429989 -2.9633158 -2.8020907 -1.7957805 -1.6045469 -1.4310145 -0.21115611 -0.044814622 0.53460243 0.5704973 0.65923849 0.78101132 1.2734003 1.4501367 1.7784798 2.3114843 2.5874722 2.7654051 3.1093044 3.4850796 3.5733914 4.3770468 4.9731472 5.2671074 5.8967432
50 0.11474045  -35.145487 -21.319539 -21.306991 -20.868277 -20.425516 -20.12546 -20.101862 -19.647674 -19.616552 -19.195213 -18.888083 -18.70869 -18.176984 -18.04991 -18.042399 -17.617593 -17.472942 -17.330872 -17.199783 -16.655653 -16.623061 -16.05132 -15.925659 -15.789765 -15.697293 -15.328522 -14.933546 -14.838659 -14.174885 -14.071281 -14.012704 -13.710467 -13.636697 -13.498775 -13.307732 -13.047626 -13.018037 -12.715094 -12.042865 -12.015925 -11.586753 -11.50756 -11.428833 -11.328294 -11.021274 -10.861629 -10.627972 -10.333835 -10.131572 -9.7960534 -9.7599853 -9.6260936 -9.5837725 -9.3088302 -9.1135302 -9.0177762 -8.9916951 -8.7299759 -8.5705241 -8.5208939 -8.3958063 -8.369277 -8.3085483 -8.1899909 -8.1765362 -8.0776601 -8.0670915 -7.9529151 -7.9263486 -7.7284218 -7.6249431 -7.5017387 -7.3203966 -7.3126612 -7.2604151 -6.9337882 -6.8745932 -6.741946 -6.6648398 -6.6005807 -6.4555079 -6.1782989 -6.1433531 -6.0124319 -6.0091662 -5.7151861 -5.6450237 -5.5139993 -5.3896132 -5.0965708 -5.0665824 -4.9481554 -4.7384082 -4.5792524 -4.3799024 -4.0726727 -3.7034214 -3.5516509 -3.473362 -2.9751236 -2.8133517 -1.7818793 -1.6114204 -1.441704 -0.19945329 -0.0439115 0.46141998 0.53670788 0.61810513 0.81501518 1.2853975 1.4921196 1.8096764 2.4212676 2.6115634 2.7166944 3.0936963 3.4934841 3.5137655 4.3311987 4.870166 5.2519511 5.9425785
51 0.11708209  -35.145489 -21.317593 -21.30645 -20.884637 -20.396872 -20.122961 -20.079884 -19.690839 -19.638706 -19.247747 -18.839105 -18.651113 -18.163724 -18.050979 -18.007091 -17.646755 -17.426812 -17.366989 -17.269231 -16.694665 -16.684022 -16.104381 -15.841687 -15.731258 -15.645288 -15.282153 -14.94102 -14.819823 -14.198402 -14.097111 -13.943152 -13.720205 -13.67185 -13.595396 -13.287072 -13.056547 -13.044379 -12.72863 -12.092034 -12.079593 -11.534314 -11.488963 -11.38737 -11.259914 -10.977789 -10.816007 -10.597157 -10.343941 -10.134974 -9.7855228 -9.7664652 -9.6825785 -9.6512095 -9.3156354 -9.1345922 -9.0083529 -8.9573949 -8.7598222 -8.5790695 -8.4933941 -8.3624493 -8.3491844 -8.302684 -8.2034441 -8.1769465 -8.0858451 -8.0774511 -7.9339407 -7.9035953 -7.7648361 -7.6497428 -7.549064 -7.3531863 -7.3217811 -7.2912925 -6.9452979 -6.8461249 -6.6785469 -6.6251956 -6.6064374 -6.4314808 -6.1877224 -6.1437098 -6.0141738 -5.9526295 -5.7522708 -5.6471747 -5.4918732 -5.4048132 -5.1412619 -5.0523229 -4.9357614 -4.783748 -4.6249671 -4.4089945 -4.0741803 -3.6568138 -3.5052775 -3.4058782 -2.9861481 -2.8258568 -1.7672913 -1.6182748 -1.4540581 -0.18711689 -0.043273362 0.38520463 0.50595865 0.58417051 0.84539777 1.3036879 1.5358368 1.8417871 2.5230862 2.6306707 2.6758533 3.0698279 3.4272937 3.5402742 4.2828327 4.766165 5.2335263 5.9754347
52 0.11942373  -35.145491 -21.315634 -21.305849 -20.899797 -20.367969 -20.120348 -20.055975 -19.732681 -19.659334 -19.299652 -18.788719 -18.593768 -18.161369 -18.052944 -17.958778 -17.685365 -17.392296 -17.383094 -17.332995 -16.761755 -16.714576 -16.16783 -15.758321 -15.664716 -15.592714 -15.239859 -14.949718 -14.800963 -14.219749 -14.124731 -13.885706 -13.734648 -13.696848 -13.685418 -13.279635 -13.079696 -13.039152 -12.734592 -12.165222 -12.120674 -11.612583 -11.392312 -11.302554 -11.187863 -10.925922 -10.772128 -10.568054 -10.350319 -10.142698 -9.8200765 -9.7907944 -9.7105821 -9.6891648 -9.3431303 -9.1538354 -9.020244 -8.8797183 -8.7919112 -8.6053792 -8.456424 -8.3532144 -8.3329911 -8.295141 -8.2159108 -8.1677514 -8.0891353 -8.0654857 -7.9112968 -7.8809919 -7.8005864 -7.6721058 -7.5993376 -7.3891461 -7.3573797 -7.295464 -6.978304 -6.8171242 -6.6428161 -6.6142581 -6.5516486 -6.4035339 -6.1894758 -6.1440685 -6.0187968 -5.8938767 -5.7909401 -5.6546208 -5.4692221 -5.4108892 -5.217578 -5.0118349 -4.9216179 -4.8294386 -4.6691152 -4.449145 -4.0657839 -3.6120835 -3.4644673 -3.3413753 -2.9953279 -2.8395181 -1.7523476 -1.6249152 -1.4678683 -0.17438621 -0.043290137 0.31044643 0.47926285 0.55409907 0.86933302 1.3313101 1.5808514 1.8737534 2.5688824 2.6414538 2.6910522 3.034085 3.3826061 3.5645666 4.2317859 4.6612114 5.2138333 5.997
